id,score
1500,0.233051
1501,0.0010635555
1502,0.99995726
1503,0.9398269
1504,0.021753967
1505,4.6789646e-05
1506,0.8777272
1507,0.06342998
1508,0.001367271
1509,0.07822156
1510,0.00013357401
1511,0.022652596
1512,0.079147875
1513,1.0
1514,9.778142e-05
1515,0.03955385
1516,0.99940085
1517,0.99895173
1518,0.9998225
1519,0.09152877
1520,0.0017190874
1521,0.12927479
1522,0.01700601
1523,0.00023418665
1524,0.00090029836
1525,0.07216054
1526,0.9999898
1527,0.0034910738
1528,1.0
1529,0.0006920397
1530,0.27748817
1531,0.004900694
1532,0.8653462
1533,0.0014517605
1534,0.9998802
1535,0.34060627
1536,1.0
1537,0.00038170815
1538,0.99999833
1539,0.016768962
1540,1.0
1541,0.00023967028
1542,0.99986446
1543,0.11186096
1544,0.0030499697
1545,0.35256737
1546,0.0035110414
1547,6.529689e-05
1548,0.842632
1549,0.023260862
1550,1.0
1551,0.99996305
1552,0.008966923
1553,0.99583566
1554,0.0006082654
1555,0.00255543
1556,1.0
1557,0.07106519
1558,0.15762073
1559,0.27032864
1560,0.9999639
1561,0.00023415685
1562,0.0017159879
1563,6.017089e-05
1564,1.0
1565,1.3679266e-05
1566,0.008225888
1567,0.0027040541
1568,0.0058169663
1569,3.5613775e-05
1570,0.19898808
1571,1.0
1572,0.39184296
1573,0.28432786
1574,1.0
1575,0.99968517
1576,2.2143126e-05
1577,0.000351429
1578,0.006110847
1579,0.08845526
1580,0.00042030215
1581,0.8725913
1582,0.01018849
1583,1.1026859e-06
1584,1.0
1585,0.08507025
1586,0.7108675
1587,0.0061157644
1588,0.01753068
1589,0.9997891
1590,0.0020636618
1591,1.0
1592,0.9109856
1593,0.99998736
1594,0.03301108
1595,0.9990492
1596,0.00975728
1597,0.99999994
1598,0.9999994
1599,0.9999832
1600,0.0009714365
1601,1.0
1602,1.0
1603,8.493662e-06
1604,0.10294774
1605,0.1963894
1606,0.015634924
1607,0.00010126829
1608,0.0030775368
1609,0.03090021
1610,0.9461078
1611,0.98688257
1612,1.0
1613,0.0056468546
1614,0.25016963
1615,1.0
1616,0.97620225
1617,1.0
1618,0.0015669465
1619,0.73684186
1620,0.35484034
1621,0.00010675192
1622,0.99999285
1623,0.014871001
1624,0.17417395
1625,0.0023163855
1626,0.9999836
1627,0.999996
1628,1.0
1629,1.0
1630,1.0
1631,9.581447e-05
1632,0.0025568902
1633,0.018817484
1634,0.0054496825
1635,0.0012014508
1636,0.0004388988
1637,0.20557794
1638,0.7166332
1639,0.000164181
1640,0.0007549226
1641,0.0049155354
1642,0.0016972125
1643,0.21095216
1644,0.22684214
1645,0.9999974
1646,0.0045960546
1647,0.07188654
1648,0.9984077
1649,0.99999994
1650,0.021146357
1651,0.008034319
